"","exposure","outcome","term","estimate","std.error","statistic","p.value","ci_lower","ci_upper"
"1","isolation_item_visit","IFN_beta","isolation_item_visit1",-1.2419490467,0.412910452531199,-3.00779270441491,0.00332888286421995,-2.05125353366115,-0.432644559738849
"2","social_relationships_ordinal","IFN_alpha2","social_relationships_ordinal.L",-0.689932368216128,0.230527766198447,-2.99283847492023,0.00345993405463936,-1.14176678996508,-0.238097946467172
"3","isolation_item_communicate","beta_NGF","isolation_item_communicate0",2.43119515297917,0.847206447422374,2.86966082514607,0.00502407012595251,0.770670516031311,4.09171978992702
"4","race_f","beta_NGF","race_fOther",1.11871850103784,0.392134561345319,2.85289441767078,0.0052462366473264,0.350134760801014,1.88730224127466
"5","social_relationships_nominal","IFN_alpha2","social_relationships_nominalFair",-0.953480650099997,0.336855929017878,-2.8305295171141,0.00558846076613339,-1.61371827097504,-0.293243029224956
"6","social_relationships_ordinal","IFN_lambda1","social_relationships_ordinal.L",-0.726379976205298,0.264337199332196,-2.74792945540913,0.00708193668947132,-1.2444808868964,-0.208279065514193
"7","isolation_item_visit","MCP_1","isolation_item_visit2",-1.34123755735173,0.487899248606648,-2.74900517101032,0.00709409093273557,-2.29752008462075,-0.384955030082695
"8","race_dichotomized","GM_CSF","race_dichotomized",-0.490273903485668,0.18090216837447,-2.7101604579487,0.0078563908347733,-0.84484215349963,-0.135705653471706
"9","isolation_cat_d","IFN_lambda1","isolation_cat_dHigh",-0.617721191936585,0.23180204999979,-2.66486509475281,0.00891788684754179,-1.07205320993617,-0.163389173936997
"10","social_relationships_nominal","IFN_lambda1","social_relationships_nominalFair",-1.01350369028181,0.38625955703045,-2.62389285089435,0.010014134160605,-1.7705724220615,-0.256434958502133
"11","social_relationships_nominal","IFN_lambda1","social_relationships_nominalGood",-0.711622264073708,0.27266499899336,-2.6098775666144,0.0104066274959091,-1.24604566210069,-0.177198866046722
"12","isolation_item_visit","MCP_1","isolation_item_visit1",-1.25087264752222,0.480872971914609,-2.60125380418417,0.0106971580337728,-2.19338367247486,-0.30836162256959
"13","isolation_item_visit","GM_CSF","isolation_item_visit4",1.22664686513333,0.47647269127794,2.5744326749207,0.0115057437319072,0.292760390228571,2.16053334003809
"14","social_relationships_ordinal","IL_10","social_relationships_ordinal.L",-0.645783027406517,0.259273615623812,-2.49073946785046,0.014345647931586,-1.15395931402919,-0.137606740783846
"15","social_relationships_ordinal","IL_12p70","social_relationships_ordinal.L",-0.640909135820264,0.258721327031098,-2.47721802904647,0.0148681127289546,-1.14800293680122,-0.133815334839312
"16","isolation_item_visit","IFN_beta","isolation_item_visit2",-1.03421603416552,0.418943694692778,-2.46862775897351,0.0152592270969072,-1.85534567576336,-0.21308639256767
"17","social_activities_ordinal","GM_CSF","social_activities_ordinal.L",-0.661658610415692,0.269801187031872,-2.45239325184114,0.0158717860383948,-1.19046893699816,-0.132848283833223
"18","isolation_item_communicate_d","IP_10","isolation_item_communicate_dHigh",-0.437149009721264,0.180521674957503,-2.42158737904562,0.0171839427736179,-0.79097149263797,-0.0833265268045583
"19","social_relationships_nominal","IL_12p70","social_relationships_nominalFair",-0.900315299090908,0.378053431094176,-2.38144988258719,0.0190811896141052,-1.64130002403549,-0.159330574146324
"20","race_f","GM_CSF","race_fBlack",-0.492335660460634,0.207648076005727,-2.37100997963042,0.0196176992230558,-0.899325889431859,-0.0853454314894101
