"exposure","outcome","term","estimate","std.error","statistic","p.value","ci_lower","ci_upper"
"social_health2_d","IFN_lambda1","social_health2_dPoor",-0.760027705370004,0.216845717788894,-3.50492374541569,0.000685067796141132,-1.19024343337697,-0.329811977363042
"isolation_cat_d","IFN_lambda1","isolation_cat_dHigh",-0.649622202235725,0.234108217607627,-2.77487996309687,0.00659115795310132,-1.11408623822157,-0.185158166249879
"social_health2_d","IFN_lambda2_3","social_health2_dPoor",-0.60419432090023,0.21828396958516,-2.7679280436785,0.00672298541224654,-1.03726349950745,-0.171125142293011
"social_relationships2_d","TNF","social_relationships2_dLow",-0.551903873117486,0.209863681717626,-2.62982078938308,0.00989266291347538,-0.968267440417748,-0.135540305817224
"isolation_cat_d","IFN_lambda2_3","isolation_cat_dHigh",-0.534935202139059,0.233426967153199,-2.29165982261158,0.0240221908565112,-0.998047656626339,-0.0718227476517793
"isolation_cat_d","sTREM_2","isolation_cat_dHigh",0.472216953240853,0.207170767137055,2.2793609338158,0.0247704042135677,0.0611960517702604,0.883237854711445
"social_health2_d","sTREM_1","social_health2_dPoor",-0.515555197905155,0.250840634118224,-2.05530973766462,0.0424556526020897,-1.0132158716841,-0.0178945241262108
"isolation_cat_d","sTREM_1","isolation_cat_dHigh",-0.538366738119423,0.265361064592867,-2.02880832930565,0.0451357844946414,-1.06483553239676,-0.011897943842087
"isolation_cat_d","IFN_gamma","isolation_cat_dHigh",-0.471655495141201,0.241289970100079,-1.95472482733358,0.0534077129177282,-0.950367923525157,0.00705693324275497
"isolation_cat_d","IL_10","isolation_cat_dHigh",-0.435683475486343,0.226063049003854,-1.92726532445785,0.0567844176736734,-0.884186126100583,0.0128191751278975
"social_health2_d","IFN_alpha2","social_health2_dPoor",-0.367708884136208,0.196762562627667,-1.86879495380441,0.0645781424015026,-0.758080204301206,0.0226624360287889
"social_relationships2_d","IFN_alpha2","social_relationships2_dLow",-0.334708179586083,0.179583634527297,-1.86380112234117,0.0652834682327259,-0.690996995681183,0.0215806365090171
"isolation_cat_d","IFN_alpha2","isolation_cat_dHigh",-0.378972338066923,0.208225583621604,-1.82000852861388,0.0717491641429044,-0.792085965400129,0.0341412892662839
"social_health2_d","CX3CL1","social_health2_dPoor",-0.44852502100109,0.247762105550128,-1.81030517158865,0.0732516803606684,-0.940077981781971,0.0430279397797904
"isolation_cat_d","CX3CL1","isolation_cat_dHigh",-0.471936844290008,0.262009831124282,-1.80121807744744,0.0746823717133335,-0.991756886813749,0.0478831982337329
"isolation_cat_d","IL_6","isolation_cat_dHigh",-0.445205086706346,0.252689188781549,-1.76186836030895,0.08114752673043,-0.94653324028776,0.0561230668750681
"social_health2_d","IFN_gamma","social_health2_dPoor",-0.401530548426667,0.229031035614335,-1.75317090694557,0.0826370705447188,-0.855921599943462,0.052860503090127
